year,state_po,county,candidate,party,candidatevotes,totalvotes
2000,KS,Riley,George W. Bush,republican,10672,18253
2000,KS,Riley,Ralph Nader,green,1171,18253
2000,KS,Riley,Other,NA,222,18253
2000,KS,Rooks,Al Gore,democrat,597,2775
2000,KS,Rooks,George W. Bush,republican,2016,2775
2000,KS,Rooks,Ralph Nader,green,105,2775
2000,KS,Rooks,Other,NA,57,2775
2000,KS,Rush,Al Gore,democrat,505,1854
2000,KS,Rush,George W. Bush,republican,1235,1854
2000,KS,Rush,Ralph Nader,green,82,1854
2000,KS,Rush,Other,NA,32,1854
2000,KS,Russell,Al Gore,democrat,886,3482
2000,KS,Russell,George W. Bush,republican,2434,3482
2000,KS,Russell,Ralph Nader,green,121,3482
2000,KS,Russell,Other,NA,41,3482
2000,KS,Saline,Al Gore,democrat,7487,21527
2000,KS,Saline,George W. Bush,republican,12412,21527
2000,KS,Saline,Ralph Nader,green,1367,21527
2000,KS,Saline,Other,NA,261,21527
2000,KS,Scott,Al Gore,democrat,418,2303
2000,KS,Scott,George W. Bush,republican,1811,2303
2000,KS,Scott,Ralph Nader,green,52,2303
2000,KS,Scott,Other,NA,22,2303
2000,KS,Sedgwick,Al Gore,democrat,62561,163417
2000,KS,Sedgwick,George W. Bush,republican,93724,163417
2000,KS,Sedgwick,Ralph Nader,green,4669,163417
2000,KS,Sedgwick,Other,NA,2463,163417
2000,KS,Seward,Al Gore,democrat,1126,5096
2000,KS,Seward,George W. Bush,republican,3869,5096
2000,KS,Seward,Ralph Nader,green,60,5096
2000,KS,Seward,Other,NA,41,5096
2000,KS,Shawnee,Al Gore,democrat,34818,74373
2000,KS,Shawnee,George W. Bush,republican,35894,74373
2000,KS,Shawnee,Ralph Nader,green,2529,74373
2000,KS,Shawnee,Other,NA,1132,74373
2000,KS,Sheridan,Al Gore,democrat,281,1489
2000,KS,Sheridan,George W. Bush,republican,1132,1489
2000,KS,Sheridan,Ralph Nader,green,55,1489
2000,KS,Sheridan,Other,NA,21,1489
2000,KS,Sherman,Al Gore,democrat,681,2682
2000,KS,Sherman,George W. Bush,republican,1894,2682
2000,KS,Sherman,Ralph Nader,green,60,2682
2000,KS,Sherman,Other,NA,47,2682
2000,KS,Smith,Al Gore,democrat,534,2184
2000,KS,Smith,George W. Bush,republican,1534,2184
2000,KS,Smith,Ralph Nader,green,79,2184
2000,KS,Smith,Other,NA,37,2184
2000,KS,Stafford,Al Gore,democrat,567,2200
2000,KS,Stafford,George W. Bush,republican,1546,2200
2000,KS,Stafford,Ralph Nader,green,54,2200
2000,KS,Stafford,Other,NA,33,2200
2000,KS,Stanton,Al Gore,democrat,215,1029
2000,KS,Stanton,George W. Bush,republican,785,1029
2000,KS,Stanton,Ralph Nader,green,16,1029
2000,KS,Stanton,Other,NA,13,1029
2000,KS,Stevens,Al Gore,democrat,345,2111
2000,KS,Stevens,George W. Bush,republican,1714,2111
2000,KS,Stevens,Ralph Nader,green,34,2111
2000,KS,Stevens,Other,NA,18,2111
2000,KS,Sumner,Al Gore,democrat,3549,10232
2000,KS,Sumner,George W. Bush,republican,6176,10232
2000,KS,Sumner,Ralph Nader,green,306,10232
2000,KS,Sumner,Other,NA,201,10232
2000,KS,Thomas,Al Gore,democrat,807,3780
2000,KS,Thomas,George W. Bush,republican,2822,3780
2000,KS,Thomas,Ralph Nader,green,93,3780
2000,KS,Thomas,Other,NA,58,3780
2000,KS,Trego,Al Gore,democrat,516,1837
2000,KS,Trego,George W. Bush,republican,1220,1837
2000,KS,Trego,Ralph Nader,green,69,1837
2000,KS,Trego,Other,NA,32,1837
2000,KS,Wabaunsee,Al Gore,democrat,1025,3420
2000,KS,Wabaunsee,George W. Bush,republican,2182,3420
2000,KS,Wabaunsee,Ralph Nader,green,96,3420
2000,KS,Wabaunsee,Other,NA,117,3420
2000,KS,Wallace,Al Gore,democrat,103,861
2000,KS,Wallace,George W. Bush,republican,737,861
2000,KS,Wallace,Ralph Nader,green,14,861
2000,KS,Wallace,Other,NA,7,861
2000,KS,Washington,Al Gore,democrat,687,3267
2000,KS,Washington,George W. Bush,republican,2446,3267
2000,KS,Washington,Ralph Nader,green,77,3267
2000,KS,Washington,Other,NA,57,3267
2000,KS,Wichita,Al Gore,democrat,207,1090
2000,KS,Wichita,George W. Bush,republican,859,1090
2000,KS,Wichita,Ralph Nader,green,15,1090
2000,KS,Wichita,Other,NA,9,1090
2000,KS,Wilson,Al Gore,democrat,1186,4095
2000,KS,Wilson,George W. Bush,republican,2748,4095
2000,KS,Wilson,Ralph Nader,green,100,4095
2000,KS,Wilson,Other,NA,61,4095
2000,KS,Woodson,Al Gore,democrat,521,1595
2000,KS,Woodson,George W. Bush,republican,974,1595
2000,KS,Woodson,Ralph Nader,green,59,1595
2000,KS,Woodson,Other,NA,41,1595
2000,KS,Wyandotte,Al Gore,democrat,32411,48272
2000,KS,Wyandotte,George W. Bush,republican,14024,48272
2000,KS,Wyandotte,Ralph Nader,green,1287,48272
2000,KS,Wyandotte,Other,NA,550,48272
2000,KY,Adair,Al Gore,democrat,1779,7328
2000,KY,Adair,George W. Bush,republican,5460,7328
2000,KY,Adair,Ralph Nader,green,48,7328
2000,KY,Adair,Other,NA,41,7328
2000,KY,Allen,Al Gore,democrat,1950,6429
2000,KY,Allen,George W. Bush,republican,4415,6429
2000,KY,Allen,Ralph Nader,green,31,6429
2000,KY,Allen,Other,NA,33,6429
2000,KY,Anderson,Al Gore,democrat,2902,7967
2000,KY,Anderson,George W. Bush,republican,4909,7967
2000,KY,Anderson,Ralph Nader,green,120,7967
2000,KY,Anderson,Other,NA,36,7967
2000,KY,Ballard,Al Gore,democrat,1880,3770
2000,KY,Ballard,George W. Bush,republican,1824,3770
2000,KY,Ballard,Ralph Nader,green,23,3770
2000,KY,Ballard,Other,NA,43,3770
2000,KY,Barren,Al Gore,democrat,4930,13844
2000,KY,Barren,George W. Bush,republican,8741,13844
2000,KY,Barren,Ralph Nader,green,108,13844
2000,KY,Barren,Other,NA,65,13844
2000,KY,Bath,Al Gore,democrat,2087,4473
2000,KY,Bath,George W. Bush,republican,2303,4473
2000,KY,Bath,Ralph Nader,green,49,4473
2000,KY,Bath,Other,NA,34,4473
2000,KY,Bell,Al Gore,democrat,4787,10611
2000,KY,Bell,George W. Bush,republican,5585,10611
2000,KY,Bell,Ralph Nader,green,102,10611
2000,KY,Bell,Other,NA,137,10611
2000,KY,Boone,Al Gore,democrat,9248,31984
2000,KY,Boone,George W. Bush,republican,22016,31984
2000,KY,Boone,Ralph Nader,green,485,31984
2000,KY,Boone,Other,NA,235,31984
2000,KY,Bourbon,Al Gore,democrat,3048,7102
2000,KY,Bourbon,George W. Bush,republican,3881,7102
2000,KY,Bourbon,Ralph Nader,green,126,7102
2000,KY,Bourbon,Other,NA,47,7102
2000,KY,Boyd,Al Gore,democrat,9541,19182
2000,KY,Boyd,George W. Bush,republican,9247,19182
2000,KY,Boyd,Ralph Nader,green,274,19182
2000,KY,Boyd,Other,NA,120,19182
2000,KY,Boyle,Al Gore,democrat,3963,10326
2000,KY,Boyle,George W. Bush,republican,6126,10326
2000,KY,Boyle,Ralph Nader,green,177,10326
2000,KY,Boyle,Other,NA,60,10326
2000,KY,Bracken,Al Gore,democrat,888,3019
2000,KY,Bracken,George W. Bush,republican,2065,3019
2000,KY,Bracken,Ralph Nader,green,37,3019
2000,KY,Bracken,Other,NA,29,3019
2000,KY,Breathitt,Al Gore,democrat,2902,5073
2000,KY,Breathitt,George W. Bush,republican,2084,5073
2000,KY,Breathitt,Ralph Nader,green,57,5073
2000,KY,Breathitt,Other,NA,30,5073
2000,KY,Breckinridge,Al Gore,democrat,2595,7453
2000,KY,Breckinridge,George W. Bush,republican,4763,7453
2000,KY,Breckinridge,Ralph Nader,green,48,7453
2000,KY,Breckinridge,Other,NA,47,7453
2000,KY,Bullitt,Al Gore,democrat,8195,22701
2000,KY,Bullitt,George W. Bush,republican,14054,22701
2000,KY,Bullitt,Ralph Nader,green,270,22701
2000,KY,Bullitt,Other,NA,182,22701
2000,KY,Butler,Al Gore,democrat,1299,5010
2000,KY,Butler,George W. Bush,republican,3654,5010
2000,KY,Butler,Ralph Nader,green,27,5010
2000,KY,Butler,Other,NA,30,5010
2000,KY,Caldwell,Al Gore,democrat,2223,5482
2000,KY,Caldwell,George W. Bush,republican,3161,5482
2000,KY,Caldwell,Ralph Nader,green,54,5482
2000,KY,Caldwell,Other,NA,44,5482
2000,KY,Calloway,Al Gore,democrat,5635,13673
2000,KY,Calloway,George W. Bush,republican,7705,13673
2000,KY,Calloway,Ralph Nader,green,236,13673
2000,KY,Calloway,Other,NA,97,13673
2000,KY,Campbell,Al Gore,democrat,12040,33829
2000,KY,Campbell,George W. Bush,republican,20789,33829
2000,KY,Campbell,Ralph Nader,green,720,33829
2000,KY,Campbell,Other,NA,280,33829
2000,KY,Carlisle,Al Gore,democrat,1149,2593
2000,KY,Carlisle,George W. Bush,republican,1405,2593
2000,KY,Carlisle,Ralph Nader,green,14,2593
2000,KY,Carlisle,Other,NA,25,2593
2000,KY,Carroll,Al Gore,democrat,1601,3499
2000,KY,Carroll,George W. Bush,republican,1818,3499
2000,KY,Carroll,Ralph Nader,green,57,3499
2000,KY,Carroll,Other,NA,23,3499
2000,KY,Carter,Al Gore,democrat,4182,8959
2000,KY,Carter,George W. Bush,republican,4617,8959
2000,KY,Carter,Ralph Nader,green,97,8959
2000,KY,Carter,Other,NA,63,8959
2000,KY,Casey,Al Gore,democrat,1122,5469
2000,KY,Casey,George W. Bush,republican,4284,5469
2000,KY,Casey,Ralph Nader,green,36,5469
2000,KY,Casey,Other,NA,27,5469
2000,KY,Christian,Al Gore,democrat,6778,17773
2000,KY,Christian,George W. Bush,republican,10787,17773
2000,KY,Christian,Ralph Nader,green,137,17773
2000,KY,Christian,Other,NA,71,17773
2000,KY,Clark,Al Gore,democrat,4918,12473
2000,KY,Clark,George W. Bush,republican,7297,12473
2000,KY,Clark,Ralph Nader,green,191,12473
2000,KY,Clark,Other,NA,67,12473
2000,KY,Clay,Al Gore,democrat,1723,6719
2000,KY,Clay,George W. Bush,republican,4926,6719
2000,KY,Clay,Ralph Nader,green,28,6719
2000,KY,Clay,Other,NA,42,6719
2000,KY,Clinton,Al Gore,democrat,1032,4305
2000,KY,Clinton,George W. Bush,republican,3224,4305
2000,KY,Clinton,Ralph Nader,green,24,4305
2000,KY,Clinton,Other,NA,25,4305
2000,KY,Crittenden,Al Gore,democrat,1610,4154
2000,KY,Crittenden,George W. Bush,republican,2469,4154
2000,KY,Crittenden,Ralph Nader,green,41,4154
2000,KY,Crittenden,Other,NA,34,4154
2000,KY,Cumberland,Al Gore,democrat,736,3006
2000,KY,Cumberland,George W. Bush,republican,2220,3006
2000,KY,Cumberland,Ralph Nader,green,22,3006
2000,KY,Cumberland,Other,NA,28,3006
2000,KY,Daviess,Al Gore,democrat,14126,36240
2000,KY,Daviess,George W. Bush,republican,21361,36240
2000,KY,Daviess,Ralph Nader,green,506,36240
2000,KY,Daviess,Other,NA,247,36240
2000,KY,Edmonson,Al Gore,democrat,1710,4995
2000,KY,Edmonson,George W. Bush,republican,3250,4995
2000,KY,Edmonson,Ralph Nader,green,17,4995
2000,KY,Edmonson,Other,NA,18,4995
2000,KY,Elliott,Al Gore,democrat,1525,2381
2000,KY,Elliott,George W. Bush,republican,827,2381
2000,KY,Elliott,Ralph Nader,green,19,2381
2000,KY,Elliott,Other,NA,10,2381
2000,KY,Estill,Al Gore,democrat,1591,4710
2000,KY,Estill,George W. Bush,republican,3033,4710
2000,KY,Estill,Ralph Nader,green,51,4710
2000,KY,Estill,Other,NA,35,4710
2000,KY,Fayette,Al Gore,democrat,47277,105477
2000,KY,Fayette,George W. Bush,republican,54495,105477
2000,KY,Fayette,Ralph Nader,green,3052,105477
2000,KY,Fayette,Other,NA,653,105477
2000,KY,Fleming,Al Gore,democrat,1813,5179
2000,KY,Fleming,George W. Bush,republican,3282,5179
2000,KY,Fleming,Ralph Nader,green,43,5179
2000,KY,Fleming,Other,NA,41,5179
2000,KY,Floyd,Al Gore,democrat,10088,15394
2000,KY,Floyd,George W. Bush,republican,5068,15394
2000,KY,Floyd,Ralph Nader,green,129,15394
2000,KY,Floyd,Other,NA,109,15394
2000,KY,Franklin,Al Gore,democrat,10853,21654
2000,KY,Franklin,George W. Bush,republican,10209,21654
2000,KY,Franklin,Ralph Nader,green,449,21654
2000,KY,Franklin,Other,NA,143,21654
2000,KY,Fulton,Al Gore,democrat,1452,2788
2000,KY,Fulton,George W. Bush,republican,1293,2788
2000,KY,Fulton,Ralph Nader,green,20,2788
2000,KY,Fulton,Other,NA,23,2788
2000,KY,Gallatin,Al Gore,democrat,1049,2459
2000,KY,Gallatin,George W. Bush,republican,1345,2459
2000,KY,Gallatin,Ralph Nader,green,38,2459
2000,KY,Gallatin,Other,NA,27,2459
2000,KY,Garrard,Al Gore,democrat,1713,5823
2000,KY,Garrard,George W. Bush,republican,4043,5823
2000,KY,Garrard,Ralph Nader,green,43,5823
2000,KY,Garrard,Other,NA,24,5823
2000,KY,Grant,Al Gore,democrat,2568,7103
2000,KY,Grant,George W. Bush,republican,4405,7103
2000,KY,Grant,Ralph Nader,green,90,7103
2000,KY,Grant,Other,NA,40,7103
2000,KY,Graves,Al Gore,democrat,6097,14231
2000,KY,Graves,George W. Bush,republican,7849,14231
2000,KY,Graves,Ralph Nader,green,131,14231
2000,KY,Graves,Other,NA,154,14231
2000,KY,Grayson,Al Gore,democrat,2604,8558
2000,KY,Grayson,George W. Bush,republican,5843,8558
2000,KY,Grayson,Ralph Nader,green,58,8558
2000,KY,Grayson,Other,NA,53,8558
2000,KY,Green,Al Gore,democrat,1085,4756
2000,KY,Green,George W. Bush,republican,3615,4756
2000,KY,Green,Ralph Nader,green,31,4756
2000,KY,Green,Other,NA,25,4756
2000,KY,Greenup,Al Gore,democrat,7164,14663
2000,KY,Greenup,George W. Bush,republican,7233,14663
2000,KY,Greenup,Ralph Nader,green,178,14663
2000,KY,Greenup,Other,NA,88,14663
2000,KY,Hancock,Al Gore,democrat,1508,3610
2000,KY,Hancock,George W. Bush,republican,2032,3610
2000,KY,Hancock,Ralph Nader,green,49,3610
2000,KY,Hancock,Other,NA,21,3610
2000,KY,Hardin,Al Gore,democrat,11095,30690
2000,KY,Hardin,George W. Bush,republican,18964,30690
2000,KY,Hardin,Ralph Nader,green,437,30690
2000,KY,Hardin,Other,NA,194,30690
2000,KY,Harlan,Al Gore,democrat,5365,10535
2000,KY,Harlan,George W. Bush,republican,4980,10535
2000,KY,Harlan,Ralph Nader,green,110,10535
2000,KY,Harlan,Other,NA,80,10535
2000,KY,Harrison,Al Gore,democrat,2658,6611
2000,KY,Harrison,George W. Bush,republican,3793,6611
2000,KY,Harrison,Ralph Nader,green,114,6611
2000,KY,Harrison,Other,NA,46,6611
2000,KY,Hart,Al Gore,democrat,2201,6019
2000,KY,Hart,George W. Bush,republican,3725,6019
2000,KY,Hart,Ralph Nader,green,53,6019
2000,KY,Hart,Other,NA,40,6019
2000,KY,Henderson,Al Gore,democrat,8054,16039
2000,KY,Henderson,George W. Bush,republican,7698,16039
2000,KY,Henderson,Ralph Nader,green,217,16039
2000,KY,Henderson,Other,NA,70,16039
2000,KY,Henry,Al Gore,democrat,2117,5473
2000,KY,Henry,George W. Bush,republican,3244,5473
2000,KY,Henry,Ralph Nader,green,73,5473
2000,KY,Henry,Other,NA,39,5473
2000,KY,Hickman,Al Gore,democrat,940,2124
2000,KY,Hickman,George W. Bush,republican,1151,2124
2000,KY,Hickman,Ralph Nader,green,18,2124
2000,KY,Hickman,Other,NA,15,2124
2000,KY,Hopkins,Al Gore,democrat,6734,16489
2000,KY,Hopkins,George W. Bush,republican,9490,16489
2000,KY,Hopkins,Ralph Nader,green,160,16489
2000,KY,Hopkins,Other,NA,105,16489
2000,KY,Jackson,Al Gore,democrat,701,4855
2000,KY,Jackson,George W. Bush,republican,4079,4855
2000,KY,Jackson,Ralph Nader,green,45,4855
2000,KY,Jackson,Other,NA,30,4855
2000,KY,Jefferson,Al Gore,democrat,149901,302362
2000,KY,Jefferson,George W. Bush,republican,145052,302362
2000,KY,Jefferson,Ralph Nader,green,5935,302362
2000,KY,Jefferson,Other,NA,1474,302362
2000,KY,Jessamine,Al Gore,democrat,4633,15061
2000,KY,Jessamine,George W. Bush,republican,10074,15061
2000,KY,Jessamine,Ralph Nader,green,266,15061
2000,KY,Jessamine,Other,NA,88,15061
2000,KY,Johnson,Al Gore,democrat,3251,8180
2000,KY,Johnson,George W. Bush,republican,4783,8180
2000,KY,Johnson,Ralph Nader,green,85,8180
2000,KY,Johnson,Other,NA,61,8180
2000,KY,Kenton,Al Gore,democrat,19100,56249
2000,KY,Kenton,George W. Bush,republican,35363,56249
2000,KY,Kenton,Ralph Nader,green,1293,56249
2000,KY,Kenton,Other,NA,493,56249
2000,KY,Knott,Al Gore,democrat,4349,6458
2000,KY,Knott,George W. Bush,republican,2029,6458
2000,KY,Knott,Ralph Nader,green,42,6458
2000,KY,Knott,Other,NA,38,6458
2000,KY,Knox,Al Gore,democrat,3690,9910
2000,KY,Knox,George W. Bush,republican,6058,9910
2000,KY,Knox,Ralph Nader,green,83,9910
2000,KY,Knox,Other,NA,79,9910
2000,KY,Larue,Al Gore,democrat,1727,5179
2000,KY,Larue,George W. Bush,republican,3384,5179
2000,KY,Larue,Ralph Nader,green,41,5179
2000,KY,Larue,Other,NA,27,5179
2000,KY,Laurel,Al Gore,democrat,4856,18120
2000,KY,Laurel,George W. Bush,republican,13029,18120
2000,KY,Laurel,Ralph Nader,green,138,18120
2000,KY,Laurel,Other,NA,97,18120
2000,KY,Lawrence,Al Gore,democrat,2258,5307
2000,KY,Lawrence,George W. Bush,republican,2969,5307
2000,KY,Lawrence,Ralph Nader,green,47,5307
2000,KY,Lawrence,Other,NA,33,5307
2000,KY,Lee,Al Gore,democrat,836,2764
2000,KY,Lee,George W. Bush,republican,1893,2764
2000,KY,Lee,Ralph Nader,green,17,2764
2000,KY,Lee,Other,NA,18,2764
2000,KY,Leslie,Al Gore,democrat,1210,4434
2000,KY,Leslie,George W. Bush,republican,3159,4434
2000,KY,Leslie,Ralph Nader,green,28,4434
2000,KY,Leslie,Other,NA,37,4434
2000,KY,Letcher,Al Gore,democrat,4698,8985
2000,KY,Letcher,George W. Bush,republican,4092,8985
2000,KY,Letcher,Ralph Nader,green,127,8985
2000,KY,Letcher,Other,NA,68,8985
2000,KY,Lewis,Al Gore,democrat,1293,4568
2000,KY,Lewis,George W. Bush,republican,3217,4568
2000,KY,Lewis,Ralph Nader,green,39,4568
2000,KY,Lewis,Other,NA,19,4568
2000,KY,Lincoln,Al Gore,democrat,2678,7597
2000,KY,Lincoln,George W. Bush,republican,4795,7597
2000,KY,Lincoln,Ralph Nader,green,71,7597
2000,KY,Lincoln,Other,NA,53,7597
2000,KY,Livingston,Al Gore,democrat,2022,4230
2000,KY,Livingston,George W. Bush,republican,2118,4230
2000,KY,Livingston,Ralph Nader,green,43,4230
2000,KY,Livingston,Other,NA,47,4230
2000,KY,Logan,Al Gore,democrat,3885,9332
2000,KY,Logan,George W. Bush,republican,5344,9332
2000,KY,Logan,Ralph Nader,green,61,9332
2000,KY,Logan,Other,NA,42,9332
2000,KY,Lyon,Al Gore,democrat,1680,3420
2000,KY,Lyon,George W. Bush,republican,1688,3420
2000,KY,Lyon,Ralph Nader,green,30,3420
2000,KY,Lyon,Other,NA,22,3420
2000,KY,McCracken,Al Gore,democrat,11412,26689
2000,KY,McCracken,George W. Bush,republican,14745,26689
2000,KY,McCracken,Ralph Nader,green,302,26689
2000,KY,McCracken,Other,NA,230,26689
2000,KY,McCreary,Al Gore,democrat,1418,4799
2000,KY,McCreary,George W. Bush,republican,3321,4799
2000,KY,McCreary,Ralph Nader,green,38,4799
2000,KY,McCreary,Other,NA,22,4799
2000,KY,McLean,Al Gore,democrat,1747,4022
2000,KY,McLean,George W. Bush,republican,2219,4022
2000,KY,McLean,Ralph Nader,green,44,4022
2000,KY,McLean,Other,NA,12,4022
2000,KY,Madison,Al Gore,democrat,9309,23666
2000,KY,Madison,George W. Bush,republican,13682,23666
2000,KY,Madison,Ralph Nader,green,525,23666
2000,KY,Madison,Other,NA,150,23666
2000,KY,Magoffin,Al Gore,democrat,2603,5453
2000,KY,Magoffin,George W. Bush,republican,2785,5453
2000,KY,Magoffin,Ralph Nader,green,23,5453
2000,KY,Magoffin,Other,NA,42,5453
2000,KY,Marion,Al Gore,democrat,2778,6176
2000,KY,Marion,George W. Bush,republican,3259,6176
2000,KY,Marion,Ralph Nader,green,93,6176
2000,KY,Marion,Other,NA,46,6176
2000,KY,Marshall,Al Gore,democrat,6203,13761
2000,KY,Marshall,George W. Bush,republican,7294,13761
2000,KY,Marshall,Ralph Nader,green,140,13761
2000,KY,Marshall,Other,NA,124,13761
2000,KY,Martin,Al Gore,democrat,1714,4456
2000,KY,Martin,George W. Bush,republican,2667,4456
2000,KY,Martin,Ralph Nader,green,36,4456
2000,KY,Martin,Other,NA,39,4456
2000,KY,Mason,Al Gore,democrat,2178,5873
2000,KY,Mason,George W. Bush,republican,3572,5873
2000,KY,Mason,Ralph Nader,green,88,5873
2000,KY,Mason,Other,NA,35,5873
2000,KY,Meade,Al Gore,democrat,3596,9071
2000,KY,Meade,George W. Bush,republican,5319,9071
2000,KY,Meade,Ralph Nader,green,104,9071
2000,KY,Meade,Other,NA,52,9071
2000,KY,Menifee,Al Gore,democrat,1038,2249
2000,KY,Menifee,George W. Bush,republican,1170,2249
2000,KY,Menifee,Ralph Nader,green,19,2249
2000,KY,Menifee,Other,NA,22,2249
2000,KY,Mercer,Al Gore,democrat,3092,8632
2000,KY,Mercer,George W. Bush,republican,5362,8632
2000,KY,Mercer,Ralph Nader,green,129,8632
2000,KY,Mercer,Other,NA,49,8632
2000,KY,Metcalfe,Al Gore,democrat,1318,3849
2000,KY,Metcalfe,George W. Bush,republican,2476,3849
2000,KY,Metcalfe,Ralph Nader,green,41,3849
2000,KY,Metcalfe,Other,NA,14,3849
2000,KY,Monroe,Al Gore,democrat,1158,5569
2000,KY,Monroe,George W. Bush,republican,4377,5569
2000,KY,Monroe,Ralph Nader,green,15,5569
2000,KY,Monroe,Other,NA,19,5569
2000,KY,Montgomery,Al Gore,democrat,3833,8519
2000,KY,Montgomery,George W. Bush,republican,4534,8519
2000,KY,Montgomery,Ralph Nader,green,87,8519
2000,KY,Montgomery,Other,NA,65,8519
2000,KY,Morgan,Al Gore,democrat,1875,4240
2000,KY,Morgan,George W. Bush,republican,2295,4240
2000,KY,Morgan,Ralph Nader,green,44,4240
2000,KY,Morgan,Other,NA,26,4240
2000,KY,Muhlenberg,Al Gore,democrat,6295,11956
2000,KY,Muhlenberg,George W. Bush,republican,5518,11956
2000,KY,Muhlenberg,Ralph Nader,green,87,11956
2000,KY,Muhlenberg,Other,NA,56,11956
2000,KY,Nelson,Al Gore,democrat,5481,13488
2000,KY,Nelson,George W. Bush,republican,7714,13488
2000,KY,Nelson,Ralph Nader,green,212,13488
2000,KY,Nelson,Other,NA,81,13488
2000,KY,Nicholas,Al Gore,democrat,994,2673
2000,KY,Nicholas,George W. Bush,republican,1613,2673
2000,KY,Nicholas,Ralph Nader,green,42,2673
2000,KY,Nicholas,Other,NA,24,2673
2000,KY,Ohio,Al Gore,democrat,3303,8882
2000,KY,Ohio,George W. Bush,republican,5413,8882
2000,KY,Ohio,Ralph Nader,green,103,8882
2000,KY,Ohio,Other,NA,63,8882
2000,KY,Oldham,Al Gore,democrat,6236,20268
2000,KY,Oldham,George W. Bush,republican,13580,20268
2000,KY,Oldham,Ralph Nader,green,349,20268
2000,KY,Oldham,Other,NA,103,20268
2000,KY,Owen,Al Gore,democrat,1394,4070
2000,KY,Owen,George W. Bush,republican,2582,4070
2000,KY,Owen,Ralph Nader,green,68,4070
2000,KY,Owen,Other,NA,26,4070
2000,KY,Owsley,Al Gore,democrat,339,1826
2000,KY,Owsley,George W. Bush,republican,1466,1826
2000,KY,Owsley,Ralph Nader,green,10,1826
2000,KY,Owsley,Other,NA,11,1826
2000,KY,Pendleton,Al Gore,democrat,1670,4803
2000,KY,Pendleton,George W. Bush,republican,3044,4803
2000,KY,Pendleton,Ralph Nader,green,57,4803
2000,KY,Pendleton,Other,NA,32,4803
2000,KY,Perry,Al Gore,democrat,5514,11000
2000,KY,Perry,George W. Bush,republican,5300,11000
2000,KY,Perry,Ralph Nader,green,103,11000
2000,KY,Perry,Other,NA,83,11000
2000,KY,Pike,Al Gore,democrat,13611,24935
2000,KY,Pike,George W. Bush,republican,11005,24935
2000,KY,Pike,Ralph Nader,green,169,24935
2000,KY,Pike,Other,NA,150,24935
2000,KY,Powell,Al Gore,democrat,2008,4362
2000,KY,Powell,George W. Bush,republican,2258,4362
2000,KY,Powell,Ralph Nader,green,63,4362
2000,KY,Powell,Other,NA,33,4362
2000,KY,Pulaski,Al Gore,democrat,5415,21541
2000,KY,Pulaski,George W. Bush,republican,15845,21541
2000,KY,Pulaski,Ralph Nader,green,178,21541
2000,KY,Pulaski,Other,NA,103,21541
2000,KY,Robertson,Al Gore,democrat,341,998
2000,KY,Robertson,George W. Bush,republican,630,998
2000,KY,Robertson,Ralph Nader,green,24,998
2000,KY,Robertson,Other,NA,3,998
2000,KY,Rockcastle,Al Gore,democrat,1174,5247
2000,KY,Rockcastle,George W. Bush,republican,3992,5247
2000,KY,Rockcastle,Ralph Nader,green,45,5247
2000,KY,Rockcastle,Other,NA,36,5247
2000,KY,Rowan,Al Gore,democrat,3505,7226
2000,KY,Rowan,George W. Bush,republican,3546,7226
2000,KY,Rowan,Ralph Nader,green,136,7226
2000,KY,Rowan,Other,NA,39,7226
2000,KY,Russell,Al Gore,democrat,1710,7074
2000,KY,Russell,George W. Bush,republican,5268,7074
2000,KY,Russell,Ralph Nader,green,54,7074
2000,KY,Russell,Other,NA,42,7074
2000,KY,Scott,Al Gore,democrat,5472,13786
2000,KY,Scott,George W. Bush,republican,7952,13786
2000,KY,Scott,Ralph Nader,green,272,13786
2000,KY,Scott,Other,NA,90,13786
2000,KY,Shelby,Al Gore,democrat,4435,12738
2000,KY,Shelby,George W. Bush,republican,8068,12738
2000,KY,Shelby,Ralph Nader,green,179,12738
2000,KY,Shelby,Other,NA,56,12738
2000,KY,Simpson,Al Gore,democrat,2583,5824
2000,KY,Simpson,George W. Bush,republican,3169,5824
2000,KY,Simpson,Ralph Nader,green,38,5824
2000,KY,Simpson,Other,NA,34,5824
2000,KY,Spencer,Al Gore,democrat,1554,4772
2000,KY,Spencer,George W. Bush,republican,3150,4772
2000,KY,Spencer,Ralph Nader,green,35,4772
2000,KY,Spencer,Other,NA,33,4772
2000,KY,Taylor,Al Gore,democrat,2790,9051
2000,KY,Taylor,George W. Bush,republican,6151,9051
2000,KY,Taylor,Ralph Nader,green,70,9051
2000,KY,Taylor,Other,NA,40,9051
2000,KY,Todd,Al Gore,democrat,1496,4187
2000,KY,Todd,George W. Bush,republican,2646,4187
2000,KY,Todd,Ralph Nader,green,14,4187
2000,KY,Todd,Other,NA,31,4187
2000,KY,Trigg,Al Gore,democrat,2110,5344
2000,KY,Trigg,George W. Bush,republican,3130,5344
2000,KY,Trigg,Ralph Nader,green,69,5344
2000,KY,Trigg,Other,NA,35,5344
2000,KY,Trimble,Al Gore,democrat,1181,3081
2000,KY,Trimble,George W. Bush,republican,1837,3081
2000,KY,Trimble,Ralph Nader,green,37,3081
2000,KY,Trimble,Other,NA,26,3081
2000,KY,Union,Al Gore,democrat,2547,5368
2000,KY,Union,George W. Bush,republican,2749,5368
2000,KY,Union,Ralph Nader,green,54,5368
